iter	Passed	Remaining
0	69	27572
1	129	25776
2	193	25624
3	254	25210
4	317	25048
5	377	24757
6	443	24877
7	514	25186
8	594	25809
9	666	25988
10	741	26219
11	818	26476
12	888	26440
13	959	26453
14	1033	26522
15	1107	26574
16	1180	26596
17	1249	26516
18	1312	26324
19	1372	26081
20	1439	25987
21	1499	25759
22	1548	25385
23	1599	25060
24	1642	24643
25	1695	24388
26	1743	24085
27	1788	23761
28	1836	23490
29	1876	23144
30	1930	22984
31	1979	22765
32	2028	22558
33	2084	22434
34	2134	22256
35	2188	22128
36	2235	21927
37	2293	21844
38	2346	21721
39	2401	21610
40	2458	21525
41	2509	21388
42	2558	21242
43	2606	21086
44	2653	20934
45	2696	20753
46	2747	20635
47	2798	20522
48	2851	20426
49	2899	20299
50	2946	20161
51	2999	20076
52	3052	19983
53	3101	19874
54	3147	19742
55	3204	19683
56	3258	19607
57	3303	19477
58	3347	19349
59	3399	19263
60	3448	19164
61	3495	19057
62	3552	19004
63	3600	18903
64	3646	18792
65	3695	18698
66	3748	18628
67	3799	18552
68	3845	18445
69	3903	18400
70	3948	18298
71	4001	18226
72	4050	18141
73	4108	18097
74	4157	18014
75	4207	17938
76	4258	17863
77	4311	17797
78	4358	17708
79	4411	17645
80	4461	17571
81	4514	17508
82	4565	17436
83	4623	17391
84	4675	17327
85	4727	17260
86	4774	17177
87	4819	17087
88	4877	17045
89	4927	16971
90	4974	16892
91	5024	16822
92	5082	16779
93	5133	16710
94	5179	16628
95	5227	16552
96	5277	16486
97	5325	16412
98	5373	16338
99	5423	16271
100	5476	16212
101	5529	16153
102	5584	16102
103	5636	16042
104	5689	15984
105	5741	15924
106	5795	15869
107	5847	15809
108	5898	15748
109	5952	15692
110	6005	15635
111	6058	15579
112	6112	15524
113	6165	15467
114	6217	15408
115	6271	15354
116	6323	15296
117	6368	15220
118	6416	15152
119	6470	15097
120	6519	15032
121	6569	14969
122	6626	14922
123	6671	14849
124	6724	14793
125	6774	14731
126	6827	14675
127	6879	14617
128	6932	14563
129	6980	14498
130	7032	14439
131	7082	14379
132	7125	14304
133	7175	14242
134	7225	14182
135	7274	14121
136	7324	14061
137	7374	13999
138	7425	13943
139	7475	13882
140	7526	13824
141	7572	13758
142	7641	13732
143	7696	13682
144	7750	13629
145	7804	13577
146	7855	13519
147	7910	13469
148	7960	13409
149	8006	13344
150	8058	13287
151	8110	13233
152	8162	13177
153	8209	13114
154	8256	13051
155	8306	12991
156	8353	12929
157	8400	12867
158	8448	12806
159	8498	12747
160	8541	12679
161	8589	12619
162	8637	12559
163	8685	12499
164	8733	12438
165	8780	12377
166	8829	12319
167	8877	12259
168	8926	12201
